lake_id,date,temp_c,s1_ice_pred,s1_ice_prob,has_s1,s2_ice_fraction,has_s2,lake_area_m2,centroid_lon,centroid_lat,month,doy,s1_ice_filled,s1_ice_smooth
501523,2023-02-26,-22.33443679809568,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,2,57,1.0,1.0
501523,2023-02-27,-24.043773396809883,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,2,58,1.0,1.0
501523,2023-02-28,-29.221257909138984,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,2,59,1.0,1.0
501523,2023-03-02,-26.151984914143867,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,61,1.0,1.0
501523,2023-03-03,-31.057611211140937,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,62,1.0,1.0
501523,2023-03-07,-6.617472712198889,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,66,1.0,1.0
501523,2023-03-10,-23.609939320882148,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,69,1.0,1.0
501523,2023-03-11,-15.42835973103837,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,3,70,1.0,1.0
501523,2023-03-12,-21.453946812947574,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,71,1.0,1.0
501523,2023-03-13,-26.86471023559568,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,72,1.0,1.0
501523,2023-03-15,-30.208811823526982,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,74,1.0,1.0
501523,2023-03-17,-33.48314577738441,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,76,1.0,1.0
501523,2023-03-18,-29.63454920450843,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,77,1.0,1.0
501523,2023-03-20,-12.698451105753575,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,79,1.0,1.0
501523,2023-03-22,-11.736226781209268,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,81,1.0,1.0
501523,2023-03-23,-13.865302785237589,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,3,82,1.0,1.0
501523,2023-03-25,-15.49719975789384,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,84,1.0,1.0
501523,2023-03-27,-3.432166163126624,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,86,1.0,1.0
501523,2023-03-28,-13.127353413899698,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,87,1.0,1.0
501523,2023-03-30,-15.287055714925089,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,3,89,1.0,1.0
501523,2023-04-01,-16.161374791463174,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,91,1.0,1.0
501523,2023-04-04,-19.06877810160316,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,4,94,1.0,1.0
501523,2023-04-06,-23.372338994344062,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,96,1.0,1.0
501523,2023-04-12,-24.100652440388984,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,102,1.0,1.0
501523,2023-04-14,-18.236447397867806,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,104,1.0,1.0
501523,2023-04-16,-18.497540537516244,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,4,106,1.0,1.0
501523,2023-04-17,-18.81222318013508,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,107,1.0,1.0
501523,2023-04-21,-9.947447840372718,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,111,1.0,1.0
501523,2023-04-22,-15.549351119995094,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,112,1.0,1.0
501523,2023-04-24,-16.249569956461585,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,114,1.0,1.0
501523,2023-04-28,-14.246256256103493,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,4,118,1.0,1.0
501523,2023-04-29,-12.447597249348917,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,4,119,1.0,1.0
501523,2023-05-10,-3.7309688568115007,1.0,0.9722927185220743,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,5,130,1.0,1.0
501523,2023-05-17,-5.103885396321573,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,5,137,1.0,1.0
501523,2023-05-19,0.4282623291015852,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,5,139,1.0,1.0
501523,2023-05-21,1.933545684814476,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,5,141,1.0,1.0
501523,2023-05-22,5.544085439046228,1.0,1.0,True,,True,25790.18117245875,-151.5579673622708,70.39201181657234,5,142,1.0,1.0
501523,2023-05-26,-1.6767740885416629,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,5,146,1.0,1.0
501523,2023-05-29,6.598384475708031,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,5,149,1.0,1.0
501523,2023-06-01,-0.1638111114501725,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,152,1.0,1.0
501523,2023-06-03,2.767817433675134,1.0,0.5560022956783692,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,6,154,1.0,1.0
501523,2023-06-06,9.244331614176474,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,157,1.0,1.0
501523,2023-06-08,2.057939783732138,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,159,1.0,1.0
501523,2023-06-10,0.9894901275634992,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,161,1.0,1.0
501523,2023-06-11,4.137051518758142,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,162,1.0,1.0
501523,2023-06-15,9.257965342203818,0.0,0.12888637223696744,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,6,166,0.0,0.0
501523,2023-06-16,4.711515045166038,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,167,0.0,0.0
501523,2023-06-18,6.703790918986044,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,169,0.0,0.0
501523,2023-06-23,4.543124771118187,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,174,0.0,0.0
501523,2023-06-25,16.50533256530764,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,176,0.0,0.0
501523,2023-06-27,8.490542348225915,0.0,0.15636260215044231,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,6,178,0.0,0.0
501523,2023-06-28,10.071957524617517,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,179,0.0,0.0
501523,2023-06-30,7.205388005574548,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,6,181,0.0,0.0
501523,2023-07-01,14.13691355387374,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,182,0.0,0.0
501523,2023-07-03,10.289511617024743,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,184,0.0,0.0
501523,2023-07-05,13.29130897521975,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,186,0.0,0.0
501523,2023-07-06,15.450308100382529,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,187,0.0,0.0
501523,2023-07-09,5.871786371866904,0.0,0.1682064176655446,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,7,190,0.0,0.0
501523,2023-07-11,13.27653846740725,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,192,0.0,0.0
501523,2023-07-13,9.05813814798995,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,194,0.0,0.0
501523,2023-07-18,9.049052174886071,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,199,0.0,0.0
501523,2023-07-20,13.552103296915732,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,201,0.0,0.0
501523,2023-07-21,19.44941991170248,0.0,0.10086062809516877,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,7,202,0.0,0.0
501523,2023-07-23,18.90767377217611,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,204,0.0,0.0
501523,2023-07-25,11.51026878356936,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,206,0.0,0.0
501523,2023-07-26,14.07001965840658,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,207,0.0,0.0
501523,2023-07-28,15.162987645467126,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,209,0.0,0.0
501523,2023-07-30,17.51293017069503,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,211,0.0,0.0
501523,2023-07-31,11.582156753540062,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,7,212,0.0,0.0
501523,2023-08-02,15.047845458984398,0.0,0.09136260215044231,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,8,214,0.0,0.0
501523,2023-08-04,9.026845550537132,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,8,216,0.0,0.0
501523,2023-08-05,16.394836680094443,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,8,217,0.0,0.0
501523,2023-08-07,17.154202397664392,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,8,219,0.0,0.0
501523,2023-08-14,4.209160105387412,0.0,0.16035414197247463,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,8,226,0.0,0.0
501523,2023-08-20,7.115717188517294,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,8,232,0.0,0.0
501523,2023-08-24,5.967055257161462,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,8,236,0.0,0.0
501523,2023-08-26,4.788174565633142,0.0,0.2084350065126105,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,8,238,0.0,0.0
501523,2023-09-04,6.939710235595726,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,9,247,0.0,0.0
501523,2023-09-07,3.510988489786825,1.0,0.5390580031413857,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,9,250,1.0,1.0
501523,2023-09-13,6.09518966674807,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,9,256,1.0,1.0
501523,2023-09-14,6.4056112925212005,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,9,257,1.0,1.0
501523,2023-09-19,3.0860013326009152,1.0,0.6918097358681347,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,9,262,1.0,1.0
501523,2023-09-26,-1.3526926676432254,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,9,269,1.0,1.0
501523,2023-09-28,0.4726183573405365,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,9,271,1.0,1.0
501523,2023-09-29,2.155643081665062,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,9,272,1.0,1.0
501523,2023-10-01,0.825938796997093,1.0,0.5705137669560344,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,10,274,1.0,1.0
501523,2023-10-03,-2.15318908691404,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,10,276,1.0,1.0
501523,2023-10-04,-2.5702671051025163,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,10,277,1.0,1.0
501523,2023-10-06,-4.56759363810221,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,10,279,1.0,1.0
501523,2023-10-08,-4.313974126179971,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,10,281,1.0,1.0
501523,2023-10-13,-4.118464533487952,1.0,0.8569803854369402,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,10,286,1.0,1.0
501523,2023-10-16,-2.070158386230446,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,10,289,1.0,1.0
501523,2023-10-18,-5.755442047119118,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,10,291,1.0,1.0
501523,2023-10-21,-8.512501780192054,,,False,,True,25790.18117245875,-151.5579673622708,70.39201181657234,10,294,1.0,1.0
501523,2023-10-25,-0.9510247548420808,1.0,0.7909281252010438,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,10,298,1.0,1.0
501523,2023-11-06,-4.865767542521155,1.0,0.9912541099107562,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,11,310,1.0,1.0
501523,2023-11-18,-21.87702598571775,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,11,322,1.0,1.0
501523,2023-11-30,-16.48945592244462,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,11,334,1.0,1.0
501523,2023-12-12,-20.599508666992165,1.0,0.995,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,12,346,1.0,1.0
501523,2023-12-24,-17.798496627807594,1.0,1.0,True,,False,25790.18117245875,-151.5579673622708,70.39201181657234,12,358,1.0,1.0
501592,2023-01-10,-26.04522043863929,1.0,0.995,True,,False,123511.96896133556,-151.73020965402242,70.39101154804501,1,10,1.0,1.0
501592,2023-01-22,-20.567066574096657,1.0,1.0,True,,False,123511.96896133556,-151.73020965402242,70.39101154804501,1,22,1.0,1.0
501592,2023-02-03,-30.213297271728493,1.0,1.0,True,,False,123511.96896133556,-151.73020965402242,70.39101154804501,2,34,1.0,1.0
501592,2023-02-15,-29.019692484537728,1.0,1.0,True,,False,123511.96896133556,-151.73020965402242,70.39101154804501,2,46,1.0,1.0
501592,2023-02-20,-28.260452016194648,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,2,51,1.0,1.0
501592,2023-02-21,-33.456665420532204,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,2,52,1.0,1.0
501592,2023-02-23,-9.708684031168616,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,2,54,1.0,1.0
501592,2023-02-25,-16.48571179707841,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,2,56,1.0,1.0
501592,2023-02-26,-22.31783523559568,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,2,57,1.0,1.0
501592,2023-02-27,-24.05882873535154,1.0,1.0,True,,False,123511.96896133556,-151.73020965402242,70.39101154804501,2,58,1.0,1.0
501592,2023-02-28,-29.130193456013984,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,2,59,1.0,1.0
501592,2023-03-02,-26.08614832560218,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,61,1.0,1.0
501592,2023-03-03,-30.70393282572425,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,62,1.0,1.0
501592,2023-03-07,-6.406860733032204,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,66,1.0,1.0
501592,2023-03-10,-23.436680857340463,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,69,1.0,1.0
501592,2023-03-11,-15.44260126749674,1.0,0.995,True,,False,123511.96896133556,-151.73020965402242,70.39101154804501,3,70,1.0,1.0
501592,2023-03-12,-21.601814651489235,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,71,1.0,1.0
501592,2023-03-13,-26.880253855387338,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,72,1.0,1.0
501592,2023-03-15,-30.05638669331867,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,74,1.0,1.0
501592,2023-03-17,-33.03978640238441,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,76,1.0,1.0
501592,2023-03-18,-29.58376795450843,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,77,1.0,1.0
501592,2023-03-20,-12.812708918253575,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,79,1.0,1.0
501592,2023-03-22,-11.72751909891764,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,81,1.0,1.0
501592,2023-03-23,-13.800849660237589,1.0,1.0,True,,False,123511.96896133556,-151.73020965402242,70.39101154804501,3,82,1.0,1.0
501592,2023-03-25,-15.46114832560221,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,84,1.0,1.0
501592,2023-03-27,-3.523800277709938,,,False,,True,123511.96896133556,-151.73020965402242,70.39101154804501,3,86,1.0,1.0
