lake_id,last_full_ice_day,first_no_ice_day,last_no_ice_day,first_full_ice_day,last_full_ice_doy,first_no_ice_doy,last_no_ice_doy,first_full_ice_doy,centroid_lat,centroid_lon,lake_area_m2,ice_free_days,size_category
505465,2023-04-28,2023-06-27,2023-08-26,2023-10-13,118,178.0,238.0,286,70.31589654604377,-151.46472080763024,111815.17784589784,60.0,Large (>50k m²)
505469,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.31523050362556,-151.8339223376846,25156.13976943783,72.0,Medium (20-50k m²)
505638,2023-06-15,2023-06-27,2023-09-07,2023-10-13,166,178.0,250.0,286,70.3139836315846,-151.44827255836233,135134.5042146832,72.0,Large (>50k m²)
505651,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.313904792354,-150.34076077052072,116599.51464860183,84.0,Large (>50k m²)
506158,2023-06-15,2023-06-27,2023-10-01,2023-10-13,166,178.0,274.0,286,70.30153907757843,-150.60622951338382,22814.759508248357,96.0,Medium (20-50k m²)
506206,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.30168780530244,-150.02688606593892,23480.296078230756,72.0,Medium (20-50k m²)
506434,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.29644417415798,-150.32206739804874,24261.12996063033,72.0,Medium (20-50k m²)
506579,2023-05-22,2023-06-03,2023-09-07,2023-10-13,142,154.0,250.0,286,70.29294014833364,-151.19575665388055,26675.93263702498,96.0,Medium (20-50k m²)
506833,2023-05-22,2023-06-03,2023-08-26,2023-09-07,142,154.0,238.0,250,70.288765449459,-151.86830186163112,117983.8324450919,84.0,Large (>50k m²)
507196,2023-04-28,2023-06-27,,2023-10-13,118,178.0,,286,70.28292349713233,-151.63132817035086,121139.24891096343,,Large (>50k m²)
507490,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.2776911095148,-151.81463662271318,111766.67030046978,72.0,Large (>50k m²)
507585,2023-06-15,2023-06-27,2023-09-19,2023-10-01,166,178.0,262.0,274,70.2810420651717,-150.13129005582186,754571.7958379284,84.0,Large (>50k m²)
507981,2023-07-21,,,2023-09-07,202,,,250,70.2660331118451,-151.67693980785248,23782.1608597784,,Medium (20-50k m²)
508502,2023-05-22,2023-06-03,2023-08-26,2023-09-07,142,154.0,238.0,250,70.25531827668779,-150.69606314230722,25877.54169050618,84.0,Medium (20-50k m²)
508509,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.25666657672696,-151.12426820237843,116932.14480575168,72.0,Large (>50k m²)
508569,2023-06-03,2023-06-15,2023-09-07,2023-10-13,154,166.0,250.0,286,70.25835794115373,-151.1893575629904,662402.0929582022,84.0,Large (>50k m²)
508638,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.25208991847516,-150.46224231819593,27300.87899990097,96.0,Medium (20-50k m²)
508672,2023-06-15,2023-06-27,2023-09-07,2023-10-13,166,178.0,250.0,286,70.25302051570476,-151.38349547109195,111035.57762249152,72.0,Large (>50k m²)
508718,2023-06-03,2023-06-15,2023-08-26,2023-10-13,154,166.0,238.0,286,70.2521791217576,-151.7347960959874,27348.506105317385,72.0,Medium (20-50k m²)
508720,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.25124919099737,-150.58059539430238,25384.13787796935,72.0,Medium (20-50k m²)
509074,2023-06-03,2023-06-15,2023-08-26,2023-10-13,154,166.0,238.0,286,70.24296159924519,-151.07417342242402,23924.076860258465,72.0,Medium (20-50k m²)
509222,2023-05-22,2023-06-03,2023-08-26,2023-09-07,142,154.0,238.0,250,70.24025119968277,-150.63356157180235,25228.35782060376,84.0,Medium (20-50k m²)
509541,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.23392994761483,-151.94303560802754,25322.566375167906,60.0,Medium (20-50k m²)
509684,2023-06-15,2023-06-27,2023-09-07,2023-09-19,166,178.0,250.0,262,70.23100901493633,-151.36748311533415,121780.79018488762,72.0,Large (>50k m²)
509904,2023-06-03,2023-06-15,2023-09-07,2023-10-13,154,166.0,250.0,286,70.22841740490917,-151.5875841828165,768141.3009444748,84.0,Large (>50k m²)
510302,2023-06-15,2023-06-27,2023-08-26,2023-10-13,166,178.0,238.0,286,70.215026334466,-150.80470216996875,23834.62716880186,60.0,Medium (20-50k m²)
510354,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.21627075035211,-151.2688210355143,129072.38698000068,60.0,Large (>50k m²)
510377,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.21618120200165,-151.29704191277116,775200.6050504843,84.0,Large (>50k m²)
510439,2023-06-03,,2023-09-07,2023-10-13,154,,250.0,286,70.21198678010202,-151.23750416413267,26571.659198006408,,Medium (20-50k m²)
510449,2023-05-22,2023-06-03,2023-08-26,2023-09-07,142,154.0,238.0,250,70.21228356672208,-150.7014093392197,23910.60732066039,84.0,Medium (20-50k m²)
510461,2023-06-03,,2023-10-01,2023-10-13,154,,274.0,286,70.21145612691082,-151.2320064481047,25072.07678269332,,Medium (20-50k m²)
510507,2023-06-03,,2023-08-26,2023-09-07,154,,238.0,250,70.21080855248827,-150.05868408773222,26764.531921188067,,Medium (20-50k m²)
510670,2023-05-22,2023-06-03,2023-08-26,2023-09-07,142,154.0,238.0,250,70.20724381389718,-150.6736620039269,22957.79246911325,84.0,Medium (20-50k m²)
510892,2023-05-22,2023-06-27,2023-09-07,2023-09-19,142,178.0,250.0,262,70.20238342548564,-151.76349629483846,118739.24671435596,72.0,Large (>50k m²)
510942,2023-06-15,2023-06-27,2023-08-26,2023-10-13,166,178.0,238.0,286,70.20200572787128,-150.98114827499933,114725.7248065583,60.0,Large (>50k m²)
511237,2023-06-03,2023-06-15,2023-09-07,2023-10-13,154,166.0,250.0,286,70.19435268496012,-151.1662811174371,25358.034356444703,84.0,Medium (20-50k m²)
511519,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.1886094401336,-150.26053849869183,26738.1121592339,60.0,Medium (20-50k m²)
511543,2023-06-15,2023-06-27,,2023-08-26,166,178.0,,238,70.19203980488756,-150.98388051003954,659974.3469892098,,Large (>50k m²)
511567,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.18744741742879,-150.47053859185553,24829.982495414755,96.0,Medium (20-50k m²)
511723,2023-06-15,2023-06-27,2023-09-07,2023-09-19,166,178.0,250.0,262,70.18685216836822,-151.8177912849111,687795.66119699,72.0,Large (>50k m²)
511789,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.18311876108609,-150.7235494160935,23450.24310373512,96.0,Medium (20-50k m²)
511910,2023-06-15,2023-06-27,2023-09-07,2023-10-13,166,178.0,250.0,286,70.1809500623086,-150.9587397459018,25696.22265417513,72.0,Medium (20-50k m²)
512065,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.17768343810263,-150.53256170681044,26739.50170217988,96.0,Medium (20-50k m²)
512288,2023-06-15,2023-06-27,2023-09-07,2023-10-13,166,178.0,250.0,286,70.17339236566451,-150.87307911007312,130216.26034647056,72.0,Large (>50k m²)
512663,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.16296853372826,-150.06758152907807,26101.252482788568,96.0,Medium (20-50k m²)
512736,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.16493751341244,-151.00229127904564,130368.8089912473,60.0,Large (>50k m²)
512793,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.15995899446362,-150.22064835129268,24945.5949057894,96.0,Medium (20-50k m²)
512846,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.16262827867318,-151.0961151466698,762984.9121878908,84.0,Large (>50k m²)
512852,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.1588278412735,-150.85053341216195,23479.18908021598,60.0,Medium (20-50k m²)
513261,2023-06-15,2023-06-27,2023-09-07,2023-09-19,166,178.0,250.0,262,70.14991815386053,-151.8790308240111,130880.09313734008,72.0,Large (>50k m²)
513711,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.13509821011218,-151.94111098575632,23614.646417792403,96.0,Medium (20-50k m²)
513767,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.13398574219548,-150.5794264615939,27575.55995522173,96.0,Medium (20-50k m²)
515046,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.09823747878747,-150.8083653710099,124428.02884389476,84.0,Large (>50k m²)
515340,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.0893587034164,-150.66417872802762,119197.62030982104,84.0,Large (>50k m²)
515808,2023-06-15,2023-06-27,2023-09-07,2023-10-13,166,178.0,250.0,286,70.07568679365643,-151.46359587818085,25792.127252244405,72.0,Medium (20-50k m²)
515886,2023-06-15,2023-06-27,2023-09-07,2023-09-19,166,178.0,250.0,262,70.07408971840447,-151.3513080650469,26507.26190658149,72.0,Medium (20-50k m²)
515946,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.07261215071475,-150.64970691855382,27021.47020286129,84.0,Medium (20-50k m²)
515955,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.07330425509464,-151.11592655117437,25285.256395699336,60.0,Medium (20-50k m²)
516112,2023-06-15,2023-06-27,,2023-08-26,166,178.0,,238,70.06836466951458,-151.49667507404138,23890.24434971284,,Medium (20-50k m²)
516199,2023-05-22,2023-06-27,2023-09-07,2023-10-13,142,178.0,250.0,286,70.06596377244101,-151.42894506241757,24100.979925170064,72.0,Medium (20-50k m²)
516381,2023-06-15,2023-06-27,2023-09-07,2023-09-19,166,178.0,250.0,262,70.06070774606926,-151.75461465730172,111060.46927004909,72.0,Large (>50k m²)
516570,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.05524943659677,-150.95327906975112,23443.939814067777,84.0,Medium (20-50k m²)
516669,2023-06-15,2023-06-27,2023-09-07,2023-09-19,166,178.0,250.0,262,70.05262343405789,-151.78636088782295,23849.89288743216,72.0,Medium (20-50k m²)
516873,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.04728272181232,-151.81569230311976,27512.10663572554,84.0,Medium (20-50k m²)
516910,2023-06-15,,,2023-08-14,166,,,226,70.04647035352899,-151.21952021336233,123122.4099096006,,Large (>50k m²)
517107,2023-05-22,2023-06-27,2023-09-07,2023-09-19,142,178.0,250.0,262,70.04144310489741,-151.0526222488955,131118.73721349295,72.0,Large (>50k m²)
517186,2023-06-03,2023-06-15,2023-09-07,2023-09-19,154,166.0,250.0,262,70.03721232422302,-150.9459543466853,23944.591283757884,84.0,Medium (20-50k m²)
517378,2023-05-22,2023-06-03,2023-09-19,2023-10-01,142,154.0,262.0,274,70.03234597175127,-150.99351682843968,26581.63310802838,108.0,Medium (20-50k m²)
517641,2023-06-15,2023-06-27,2023-09-07,2023-09-19,166,178.0,250.0,262,70.02738719587656,-151.7414055870827,735335.1280832357,72.0,Large (>50k m²)
517645,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.02296917405567,-150.98470893431866,24575.62716829373,72.0,Medium (20-50k m²)
517662,2023-05-22,2023-06-27,2023-09-07,2023-09-19,142,178.0,250.0,262,70.02240960134452,-151.47193347512197,24809.8252826693,72.0,Medium (20-50k m²)
517767,2023-06-15,2023-06-27,2023-09-07,2023-10-13,166,178.0,250.0,286,70.01926409731112,-151.31936930830332,24832.402908886685,72.0,Medium (20-50k m²)
626341,2023-06-27,,,2023-10-13,178,,,286,70.49018444309945,-149.5790683741518,25848.26211072082,,Medium (20-50k m²)
626415,2023-06-27,,,2023-08-26,178,,,238,70.48843894788092,-149.56534084926875,127084.98225775675,,Large (>50k m²)
626462,2023-06-03,,,2023-08-26,154,,,238,70.48410628940188,-149.8342849296472,26688.251766240588,,Medium (20-50k m²)
626483,2023-06-15,2023-06-27,2023-08-26,2023-10-13,166,178.0,238.0,286,70.48225434783659,-149.8305304797927,27299.74533583428,60.0,Medium (20-50k m²)
626487,2023-06-27,,,2023-08-26,178,,,238,70.48243404992952,-149.63204394914365,27881.7084502482,,Medium (20-50k m²)
626713,2023-06-27,,2023-08-26,2023-10-01,178,,238.0,274,70.47336407353222,-149.9232980762468,23461.42166315268,,Medium (20-50k m²)
626778,2023-06-03,,,2023-08-26,154,,,238,70.46971630514042,-149.42841811979423,24045.896928846956,,Medium (20-50k m²)
626819,2023-06-15,2023-06-27,,2023-10-01,166,178.0,,274,70.46838470759585,-149.7003232488686,116403.07525876274,,Large (>50k m²)
626822,2023-06-27,,,2023-08-14,178,,,226,70.46845355965907,-149.32408697732467,133328.14972033052,,Large (>50k m²)
626834,2023-07-21,,,2023-08-26,202,,,238,70.46665868932563,-149.61753187088672,27620.78836413661,,Medium (20-50k m²)
626912,2023-06-15,2023-06-27,2023-08-26,2023-10-13,166,178.0,238.0,286,70.46395973480904,-149.91712219847935,26194.270113654693,60.0,Medium (20-50k m²)
627257,2023-05-22,,,2023-09-19,142,,,262,70.44997325147071,-149.76194426373135,22960.38573640065,,Medium (20-50k m²)
627295,2023-06-27,,,2023-08-26,178,,,238,70.44849798349604,-149.6062677031311,130426.77590762416,,Large (>50k m²)
627422,2023-06-15,2023-06-27,,2023-10-13,166,178.0,,286,70.44538961464981,-149.79430471680894,124399.04164986014,,Large (>50k m²)
627505,2023-06-15,2023-06-27,,2023-10-01,166,178.0,,274,70.44105189811327,-149.89547508738832,126787.07806110178,,Large (>50k m²)
627664,2023-06-27,,,2023-08-26,178,,,238,70.43393372223088,-149.79651904996533,25555.644360940907,,Medium (20-50k m²)
627714,2023-06-03,2023-06-15,,2023-10-13,154,166.0,,286,70.43123688207974,-149.53283786787898,27565.276085819845,,Medium (20-50k m²)
627723,2023-06-03,2023-06-15,2023-10-01,2023-10-13,154,166.0,274.0,286,70.43049591652036,-149.128887832621,27362.84747113632,108.0,Medium (20-50k m²)
627729,2023-06-15,2023-06-27,2023-10-01,2023-10-13,166,178.0,274.0,286,70.43409043558711,-149.86294860959825,702943.7836754892,96.0,Large (>50k m²)
627887,2023-06-27,,2023-09-19,2023-10-01,178,,262.0,274,70.42756547066692,-149.1206535420895,127963.52456803794,,Large (>50k m²)
627930,2023-06-27,,2023-08-26,2023-09-07,178,,238.0,250,70.42509471311348,-149.13887298117191,116604.90528186118,,Large (>50k m²)
628234,2023-06-27,,2023-08-26,2023-09-07,178,,238.0,250,70.41047704479523,-149.14677418508035,26767.49527946809,,Medium (20-50k m²)
628406,2023-06-15,2023-06-27,2023-10-01,2023-10-13,166,178.0,274.0,286,70.40899987628265,-149.37995510331174,664219.2058087194,96.0,Large (>50k m²)
628654,2023-07-21,,,2023-08-02,202,,,214,70.39541542652577,-148.89788277621668,26416.264079340064,,Medium (20-50k m²)
628686,2023-06-03,2023-06-15,2023-10-01,2023-10-13,154,166.0,274.0,286,70.39544354786531,-149.92290696062815,134451.9556736093,108.0,Large (>50k m²)
628819,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.39134979452565,-148.82910966321563,22827.25840810977,60.0,Medium (20-50k m²)
628847,2023-06-15,2023-06-27,,2023-08-26,166,178.0,,238,70.39088453494703,-149.59237838678683,128434.75577787626,,Large (>50k m²)
628853,2023-06-27,,2023-08-26,2023-10-01,178,,238.0,274,70.38927511748685,-149.2694124145923,25913.70489866726,,Medium (20-50k m²)
628878,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.38847515720428,-148.8877020317723,24230.57400469694,60.0,Medium (20-50k m²)
629083,2023-06-15,2023-06-27,2023-08-26,2023-10-01,166,178.0,238.0,274,70.38240882135075,-149.02173066171474,118571.60049394358,60.0,Large (>50k m²)
629227,2023-06-15,2023-06-27,2023-09-07,2023-10-13,166,178.0,250.0,286,70.37678820099451,-148.76196376596909,25812.06252957757,72.0,Medium (20-50k m²)
629333,2023-06-03,2023-06-15,2023-08-26,2023-10-13,154,166.0,238.0,286,70.3745460983869,-149.36051337981735,26376.737308930544,72.0,Medium (20-50k m²)
629372,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.37443031457944,-149.56906922687412,130515.41184487936,60.0,Large (>50k m²)
629462,2023-06-27,,2023-08-26,2023-10-13,178,,238.0,286,70.3705066340425,-148.63818616877566,126375.85800392524,,Large (>50k m²)
629488,2023-06-03,2023-06-15,2023-08-26,2023-10-13,154,166.0,238.0,286,70.36974485339226,-149.24335162978323,26564.85298900435,72.0,Medium (20-50k m²)
629575,2023-06-03,2023-06-15,,2023-09-07,154,166.0,,250,70.36639640607534,-149.79607644910945,23715.682341376145,,Medium (20-50k m²)
629630,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.36602258402023,-149.6490872774174,113250.50301415278,60.0,Large (>50k m²)
629792,2023-05-22,2023-06-03,2023-09-07,2023-09-19,142,154.0,250.0,262,70.36017779164327,-149.82506524990703,25321.495980299675,96.0,Medium (20-50k m²)
629959,2023-06-15,2023-06-27,2023-09-07,2023-09-19,166,178.0,250.0,262,70.35484394173972,-149.97514056909367,116673.05133508464,72.0,Large (>50k m²)
630113,2023-05-22,2023-06-27,2023-08-26,2023-09-07,142,178.0,238.0,250,70.35019570072068,-149.19310116679665,24652.208445038268,60.0,Medium (20-50k m²)
630250,2023-06-03,2023-06-15,2023-08-26,2023-10-01,154,166.0,238.0,274,70.34771336671517,-149.35217718541577,131215.75567236386,72.0,Large (>50k m²)
630450,2023-06-03,,2023-08-26,2023-10-01,154,,238.0,274,70.34073777560202,-149.91944222780876,24535.57709629694,,Medium (20-50k m²)
630477,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.34055842795786,-148.75768711102594,115643.72969295316,72.0,Large (>50k m²)
630484,2023-06-15,,,2023-10-01,166,,,274,70.33956242765797,-149.69949030074667,23451.95645270195,,Medium (20-50k m²)
630657,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.33532675476735,-149.3543077442009,25608.260635656374,72.0,Medium (20-50k m²)
630759,2023-06-03,2023-06-15,2023-08-26,2023-09-07,154,166.0,238.0,250,70.33293250625674,-149.44538725195113,23373.38992179134,72.0,Medium (20-50k m²)
630909,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.33396434455112,-148.7243160667854,726905.4285258724,60.0,Large (>50k m²)
630916,2023-06-03,2023-06-15,2023-08-26,2023-10-13,154,166.0,238.0,286,70.32929258811552,-148.87065783828618,24375.729496978067,72.0,Medium (20-50k m²)
630941,2023-05-22,2023-06-03,2023-08-26,2023-09-07,142,154.0,238.0,250,70.32846315181855,-149.3101032929534,25440.55650183492,84.0,Medium (20-50k m²)
630971,2023-06-15,2023-06-27,2023-08-26,2023-10-01,166,178.0,238.0,274,70.33255158746337,-149.88552211529952,749434.6792987997,60.0,Large (>50k m²)
631026,2023-06-03,2023-06-15,2023-10-01,2023-10-13,154,166.0,274.0,286,70.32609977034262,-149.23701469445172,23560.527775676142,108.0,Medium (20-50k m²)
631065,2023-06-03,2023-06-15,2023-08-26,2023-10-13,154,166.0,238.0,286,70.32461083436334,-149.32642634998737,111815.8097066166,72.0,Large (>50k m²)
631161,2023-06-03,2023-06-15,2023-09-19,2023-10-01,154,166.0,262.0,274,70.3214928120836,-149.1849416309647,24133.648542927,96.0,Medium (20-50k m²)
631230,2023-06-03,,2023-08-26,2023-09-07,154,,238.0,250,70.31961167663532,-148.53652590448235,23580.779613088933,,Medium (20-50k m²)
631260,2023-07-21,,,2023-08-02,202,,,214,70.31896223778837,-148.72681920126928,23794.856330475075,,Medium (20-50k m²)
631321,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.31681769027126,-148.92661300821695,26337.68179222257,60.0,Medium (20-50k m²)
631446,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.31906572054044,-148.8097587776686,702653.1360747328,60.0,Large (>50k m²)
631697,2023-06-15,2023-06-27,2023-08-26,2023-09-07,166,178.0,238.0,250,70.30815455655977,-149.66895798516742,118910.01450702907,60.0,Large (>50k m²)
631698,2023-05-22,2023-06-03,2023-08-26,2023-09-07,142,154.0,238.0,250,70.30681824369908,-149.3453541599315,23549.347100198425,84.0,Medium (20-50k m²)
